M,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,U,V,W
355,8.367663128999258e-16,1.0208549017379096e-15,2.5102989386997773e-15,2.3429456761197923e-15,2.242533718571801e-15,0.4999999999997553,2.5134786506887973e-13,0.4999999999997553,2.2910661647199966e-13
360,1.7403934913320546e-15,1.7403934913320546e-15,4.836285759566959e-15,5.572606082822829e-15,3.3803796658564907e-15,0.4999999999998122,2.130141226073627e-13,0.4999999999998122,1.454232638430342e-13
365,2.2088616401099517e-15,2.0582574373751826e-15,5.0034062908551186e-15,4.099781074446502e-15,3.865507870192416e-15,0.4999999999994885,4.847447272023112e-13,0.4999999999994885,5.208228006574406e-13
370,4.032669370718005e-15,3.932270963148261e-15,8.333067828288657e-15,8.466932371714981e-15,5.555378552192437e-15,0.4999999999991769,7.896000094001709e-13,0.4999999999993027,7.005633549537374e-13
375,2.2923326181524635e-15,3.095485652249677e-15,5.772662432573721e-15,4.718524075321129e-15,3.5305268790523343e-15,0.4999999999993678,6.478265837737877e-13,0.4999999999992938,6.712184158918691e-13
380,5.019498117846413e-16,2.0077992471385655e-16,4.517548306061772e-16,6.692664157128552e-17,1.1712162274974966e-16,0.49999999999986994,1.563573663709158e-13,0.49999999999981604,1.563573663709158e-13
385,5.35391480465028e-16,1.8404082140985337e-16,6.69239350581285e-16,1.070782960930056e-15,7.194323018748814e-16,0.49999999999997935,4.350055778778352e-15,0.49999999999997935,3.372966326929676e-14
390,8.197858911711738e-16,1.2547743232211842e-15,1.6061111337231158e-15,0.0,1.840335674057737e-16,0.49999999999949507,3.78925115288488e-13,0.49999999999970474,4.1743832184922354e-13
395,1.0372402456886419e-15,7.193762994292193e-16,3.496503408853648e-15,2.8942348790989524e-15,2.0242914472310593e-15,0.4999999999998627,1.1821192864574103e-13,0.4999999999998627,1.4621741527933438e-13
400,1.288137186378227e-15,8.699108271645169e-16,2.559545318387905e-15,2.1413189591741952e-15,1.67290543685484e-15,0.49999999999974826,2.5797874741738487e-13,0.4999999999996448,3.4043625639996e-13
405,6.189523793992074e-16,9.033359050691136e-16,2.4590810749103644e-15,1.856857138197622e-15,1.5222882844683208e-15,0.4999999999999196,2.4239513452687877e-14,0.49999999999991945,1.2916030598219677e-13
