M,X,Y_{cj},Y_{rj},T,U,V,W
95,3.4755478145461797e-16,0.5000000000000323,0.49999999999996564,0.0,1.0178390028313813e-15,0.0,1.0178390028313813e-15
100,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
105,9.67554801540332e-16,0.49999999999998085,0.5000000000000183,1.569211661568051e-32,1.3102304604191998e-17,4.38493857570565e-34,1.7133782943943385e-17
110,0.0,0.5,0.5,0.0,5.54170933263841e-18,0.0,5.54170933263841e-18
115,1.2412670766236353e-16,0.5000000000000268,0.4999999999999721,0.0,4.2203080605203603e-16,0.0,4.2203080605203603e-16
120,2.7307875685719977e-16,0.49999999999999073,0.5000000000000087,0.0,2.234280737922543e-16,0.0,2.234280737922543e-16
125,2.4825341532472732e-17,0.4999999999999847,0.5000000000000143,0.0,4.716814891169819e-16,0.0,4.716814891169819e-16
130,7.086874183456845e-16,0.5000000000000366,0.4999999999999621,1.0311787615077927e-33,3.4276713912884317e-16,1.6712614988620404e-33,3.392438352024087e-16
135,6.951095629092372e-16,0.5000000000000306,0.49999999999996836,0.0,1.4895204919483655e-16,0.0,1.4895204919483655e-16
140,1.9320851550952357e-16,0.500000000000005,0.49999999999999456,3.002766637128207e-32,1.962273985643599e-16,1.7400976937981474e-34,1.922022211579115e-16
145,6.206335383118164e-16,0.49999999999995987,0.5000000000000373,0.0,1.0426643443638518e-15,0.0,1.0426643443638518e-15
150,2.5753056531482153e-16,0.5000000000000103,0.49999999999998906,8.599404604223761e-33,1.2298090472553492e-16,1.4240662015272542e-34,1.247413675743667e-16
155,5.958081967793441e-16,0.5000000000000191,0.49999999999997935,0.0,5.213321721819261e-16,0.0,5.213321721819261e-16
160,1.1585692734970572e-15,0.5000000000000412,0.49999999999995737,2.5735750235699414e-32,7.869622018328534e-17,5.006484342639651e-34,8.548471202018217e-17
165,7.079261167355351e-16,0.4999999999999771,0.5000000000000222,7.97158322245591e-33,6.083740065696005e-17,1.8886987458741222e-34,5.88262469162341e-17
170,1.9304805331867093e-16,0.4999999999999769,0.5000000000000229,2.0707780916928562e-33,4.072107374690715e-17,3.9025526047575295e-35,3.921288583035503e-17
175,6.434221359414915e-16,0.500000000000013,0.4999999999999864,8.694924412237324e-33,2.965773907855313e-17,2.8744841366760563e-35,2.7144371360031676e-17
180,4.96506830649454e-17,0.4999999999999905,0.5000000000000089,0.0,2.4825341532472707e-16,0.0,2.4825341532472707e-16
185,1.029265479159874e-15,0.49999999999999567,0.5000000000000033,6.14213670705183e-32,2.261569656357145e-17,7.967833194354813e-35,1.809255725085716e-17
190,7.075535309936748e-16,0.5000000000000725,0.4999999999999269,4.1734090357830454e-32,2.462366691668329e-17,9.995321141339047e-35,2.7136285989814237e-17
195,5.788558184137965e-16,0.4999999999999536,0.5000000000000457,4.0348833823939024e-32,1.9094202343510646e-17,1.1779539904874954e-34,2.2360315902269047e-17
200,6.431186399481068e-17,0.4999999999999894,0.5000000000000105,3.9792022052855375e-32,1.63291842174324e-17,4.577618236634644e-35,1.3314565592675648e-17
205,9.681883197664332e-16,0.49999999999999495,0.5000000000000029,0.0,6.206335383118163e-16,0.0,6.206335383118163e-16
210,2.979040983896717e-16,0.5000000000000298,0.49999999999996936,0.0,2.979040983896717e-16,0.0,2.979040983896717e-16
215,7.199349044417085e-16,0.4999999999999218,0.5000000000000766,0.0,5.461575137143995e-16,0.0,5.461575137143995e-16
220,7.715104552508488e-16,0.5000000000000221,0.4999999999999771,5.1769599358421744e-33,8.036567242196342e-18,1.1562779555857852e-34,9.794566326426792e-18
