M,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,U,W
455,0.055690366416052677,0.05569036641605229,0.22227614656642108,0.22227614656642108,0.22227614656642075,0.1108954137343161,0.1108954137343161
460,0.05568891022298586,0.05568891022298567,0.2222755640891943,0.22227556408919416,0.2222755640891945,0.11089774364322284,0.11089774364322284
465,0.05568748515582154,0.05568748515582172,0.22227499406232862,0.22227499406232887,0.22227499406232934,0.11090002375068486,0.11090002375068485
470,0.055686090227120476,0.05568609022712104,0.22227443609084824,0.22227443609084843,0.22227443609084818,0.11090225563660677,0.11090225563660677
475,0.05568472448524637,0.05568472448524662,0.2222738897940982,0.2222738897940984,0.22227388979409876,0.11090444082360582,0.11090444082360582
480,0.055683387020515944,0.055683387020516874,0.22227335480820634,0.222273354808207,0.22227335480820645,0.1109065807671737,0.11090658076717369
485,0.05568207697745584,0.05568207697745569,0.22227283079098228,0.22227283079098242,0.22227283079098242,0.11090867683607074,0.11090867683607068
490,0.05568079350604601,0.055680793506046065,0.22227231740241846,0.22227231740241837,0.22227231740241843,0.11091073039032641,0.11091073039032638
495,0.05567953581666479,0.05567953581666536,0.22227181432666596,0.2222718143266663,0.22227181432666607,0.11091274269333569,0.11091274269333569
500,0.05567830313742803,0.05567830313742856,0.22227132125497132,0.2222713212549713,0.22227132125497104,0.1109147149801149,0.11091471498011489
