alpha,X_{cj},X_{rj},Y_{cj},Y_{rj},T,U,V,W
0.8,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.81,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.82,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.83,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.84,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.85,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.86,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.87,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.88,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.89,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.9,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.91,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.92,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.93,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.94,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.95,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
